authors,bestsellers_rank,categories,description,length,height,width,format,id,image_url,isbn10,isbn13,lang,publication_date,rating_avg,rating_count,title,weight
[54817],470154,"[241, 314, 316, 2810]",Pearson English Readers bring language learning to life through the joy of reading.,130.0,198.0,5.0,1,9781405865159,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4058/9781405865159.jpg,1405865156,9781405865159,en,2008-05-27,3.86,78,Level 5: The Phantom of the Opera,106.0
[220535],26764,"[365, 2634]","Ritsuka Aoyagi is alone in the world-never fitting in at school and alienated from his own past by a fragmented memory. When his beloved older brother is brutally murdered, Ritsuka is heartbroken but determined to find answers. His only lead is Soubi, a mysterious, handsome college student who offers him an intimate link to his brother's other life: a dark and vibrant world of spell battles and secret names.",127.0,191.0,20.0,1,9781421553818,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4215/9781421553818.jpg,1421553813,9781421553818,en,2013-07-04,4.11,519,"Loveless, Vol. 11",152.0
[124409],44639,"[271, 834, 3379, 2556]","Jennifer Webb collaborates with six expert writers to offer practical teaching strategies for the English classroom. With advice for primary to sixth form, it helps in the teaching of writing skills of distinct and specific forms, including: play-writing, novels, spoken poetry, written poetry, journalism and speech-writing.",148.0,210.0,19.0,1,9781912906895,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9129/9781912906895.jpg,1912906899,9781912906895,en,2020-04-10,4.47,38,Teach Like A Writer : Expert tips on teaching students to write in different forms,300.0
[17097],43427,[2848],"Welcome the first book written by Shannon O'Hara, founder and creator of Talk To The Entities(R); a global company educating and empowering people in the area of entities using the amazing tools of Access Consciousness(R). Come along on Shannon's amazing journey growing up, talking with and seeing ghosts, as well as all the struggles, difficulties, joy and magic along the way. If you have ever had any curiosity about this subject at all, this book is for you.",152.0,229.0,10.0,1,9781939261694,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9392/9781939261694.jpg,1939261694,9781939261694,en,2015-02-05,4.07,15,Talk to the Entities,200.0
[383321],499464,[2538],Warning: these jokes may put you off your dinner!,135.0,202.0,7.0,1,9781407152462,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4071/9781407152462.jpg,1407152467,9781407152462,en,2015-01-01,5.0,1,Disgusting Jokes,70.0
[234157],173524,"[292, 667, 2978]","2012 ForeWord Reviews Book of the Year Awards, Honorable Mention in Humor Category",140.0,210.0,38.0,1,9781607105626,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6071/9781607105626.jpg,1607105624,9781607105626,en,2012-11-01,4.3,437,Uncle John's Fully Loaded 25th Anniversary Bathroom Reader,807.0
[65121],11867,"[273, 276]","Japanese for Busy People is the most popular Japanese language textbook series in the world. With over 20 components including texts, workbooks, CDs, videos and teacher's manuals, it is also one of the most comprehensive. Now, a decade after its first revision, the entire series has been redesigned, updated and consolidated to meet the needs of 21st-century students and businesspeople who want to learn natural, spoken Japanese as effectively as possible in a limited amount of time. The book features not only a sleek, new design but also a unit structure that",191.0,267.0,17.78,1,9781568363844,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5683/9781568363844.jpg,1568363842,9781568363844,en,2012-04-10,4.14,91,Japanese For Busy People 1: Romanized Version,619.0
"[510315, 510316]",592461,"[101, 121, 2912]","This debut book from acclaimed Los Angeles lifestyle brand Poketo proves creativity can be sparked anywhere. From a colorful desk in a tiny closet to expansive homes, Creative Spaces explores the lives, homes, and studios of 23 artistic entrepreneurs, authors, and designers through a collection of inspired interiors from across the country that brings art into the everyday. With stunning photography, intimate profiles, and unexpected takeaways, the book showcases an eclectic mix of creatives, including artist Adam J. Kurtz, ceramicist Helen Levi, and DJ Peanut Butter Wolf, among others. Fusing lifestyle with interior design, this peek into the spaces and lives of creative professionals will motivate dreamers and thinkers to become doers and makers.",203.0,279.0,27.94,2,9781452174099,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4521/9781452174099.jpg,1452174091,9781452174099,en,2019-08-27,4.26,34,Creative Spaces,1224.7
[594983],700037,"[1810, 1812, 1813]","The cost manager/quantity surveyor plays a pivotal role in the financial and contract management of construction projects, although the exact nature of the service they provide depends on the project employer s terms of engagement. This can mean acting as consultant in a range of roles including cost and advisory services for budget setting to initiate a project, cost management through the design and construction phases, contract administration and acting as the client side project manager to oversee the entire building process. Cost Management of Construction Projects focusses on the cost manager/quantity surveyor engaged by the project client, and discusses key elements that help drive project success including measurement (based on the New Rules of Measurement published by RICS), procurement, cost planning, contract administration and project cost management. With examples, it provides a thorough guide to the role in the workplace and in the field, directly addressing the day to day situations faced by the cost manager/quantity surveyor. Donald Towey MRICS has extensive experience of the construction industry.",176.0,241.0,18.0,1,9781118473771,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1184/9781118473771.jpg,1118473779,9781118473771,en,2013-08-26,4.0,3,Cost Management of Construction Projects,576.0
"[317393, 317394]",766368,"[1308, 1368, 1370]","A major revision of the leading textbook of FNA cytology Both text and illustrations provide a systematic and logical approach to the acquisition, interpretation and diagnosis of Fine Needle Aspirate biopsy specimens. Orell's FNA Cytology will assist in establishing diagnostic criteria and results in the examination of benign and malignant condition in all body systems where the technique is currently applied. The information is always presented in a clinical context: it details the role of FNA and other ancillary techniques in the investigative sequence (the cytological findings are always set in the context of the patient's clinical history, physical exam and other laboratory tests). It gives practical, technical advice on how to obtain good smears and alerts the reader as to possible diagnostic pitfalls and complications. The contents are organized in a framework of anatomical regions (rather than histopathological classifications) in order to reflect the way problems present in clinical practice. Each chapter is divided into two parts: the first deals with indications, accuracy, techniques and complications; the second illustrates the cytological patterns and their implication. Both common and rare conditions are covered.Provides practical tips and advice on how to avoid pitfalls and ensure accurate diagnoses.",219.0,276.0,27.94,2,9780702031519,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7020/9780702031519.jpg,702031518,9780702031519,en,2011-09-26,3.5,2,Orell and Sterrett's Fine Needle Aspiration Cytology : Expert Consult: Online and Print,1537.68
